tema,tipo_institucional,total
Digitalização e acesso,National audiovisual archive,28
Comunicação institucional,National audiovisual archive,23
Visita e descoberta do arquivo,National audiovisual archive,4
Coleções e serviços,National audiovisual archive,3
Música e performance,National audiovisual archive,3
Tema não identificado,National audiovisual archive,3
Apresentação institucional,National audiovisual archive,2
Exposições e eventos,National audiovisual archive,2
Formação e mediação,National audiovisual archive,2
História e pesquisa,National audiovisual archive,2
Acervo e patrimônio,National audiovisual archive,1
