code,corpus,short_label,category_code,category_label,entity_level,coverage_level,scope,monthly_refresh_enabled,run_script,check_script
ape,Archives Portal Europe,APE,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador continental,portal geral de arquivos,True,python scripts/run_pipeline.py,python scripts/check_ape_outputs.py
euscreen,EUscreen,EUscreen,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador audiovisual europeu,agregador temático audiovisual,True,python scripts/run_euscreen_pipeline.py,python scripts/check_euscreen_outputs.py
european-film-gateway,European Film Gateway,EFG,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador audiovisual europeu,agregador temático cinematográfico e audiovisual,True,python scripts/run_european_film_gateway_pipeline.py,python scripts/check_european_film_gateway_outputs.py
europeana,Europeana,Europeana,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador cultural europeu,agregador cultural digital com recorte audiovisual,True,python scripts/run_europeana_pipeline.py,python scripts/check_europeana_outputs.py
pares,PARES,PARES,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador nacional europeu,portal geral de arquivos,True,python scripts/run_pares_pipeline.py,python scripts/check_pares_outputs.py
portal-portugues-arquivos,Portal Português de Arquivos,PPA,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador nacional europeu,portal geral de arquivos,True,python scripts/run_ppa_pipeline.py,python scripts/check_ppa_outputs.py
aapb,American Archive of Public Broadcasting,AAPB,aggregator,Agregadores arquivísticos,infraestrutura agregadora,agregador nacional norte-americano,agregador temático audiovisual,True,python scripts/run_aapb_pipeline.py,python scripts/check_aapb_outputs.py
ina,Institut national de l'audiovisuel,INA,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual,arquivo especializado em audiovisual,True,python scripts/run_ina_pipeline.py,python scripts/check_ina_outputs.py
aamod,Archivio Audiovisivo del movimento operaio e democratico,AAMOD,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo italiano audiovisual e filmoteca/videoteca institucional,True,python scripts/run_aamod_pipeline.py,python scripts/check_aamod_outputs.py
archipop,ARCHIPOP,ARCHIPOP,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo regional de filmes amadores e arquivos audiovisuais privados,True,python scripts/run_archipop_pipeline.py,python scripts/check_archipop_outputs.py
sfa,Arhiv Republike Slovenije - Slovenski filmski arhiv,SFA,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo nacional esloveno especializado em patrimônio fílmico,True,python scripts/run_sfa_pipeline.py,python scripts/check_sfa_outputs.py
