tema,plataforma,total
História e pesquisa,Portal Português de Arquivos,37
Acervo e patrimônio,Portal Português de Arquivos,24
Digitalização e acesso,Portal Português de Arquivos,17
Divulgação de serviços e projetos,Portal Português de Arquivos,6
Comunicação institucional,Portal Português de Arquivos,4
Música e performance,Portal Português de Arquivos,2
Visita e descoberta do arquivo,Portal Português de Arquivos,2
Apresentação institucional,Portal Português de Arquivos,1
Exposições e eventos,Portal Português de Arquivos,1
